,Count,Count,Count,Percentage (%),Percentage (%)
_label,Complication,No Complication,All,Complication,No Complication
dot_quy,,,,,
0,472,11721,12193,74.45,100.0
1,162,0,162,25.55,0.0
All,634,11721,12355,,
