,Count,Count,Count,Percentage (%),Percentage (%)
_label,Complication,No Complication,All,Complication,No Complication
dai_thao_duong,,,,,
0,492,8161,8653,77.60000000000001,69.63000000000001
1,142,3560,3702,22.400000000000002,30.37
All,634,11721,12355,,
