,Count,Count,Count,Percentage (%),Percentage (%)
_label,Complication,No Complication,All,Complication,No Complication
benh_mach_vanh,,,,,
0,633,11708,12341,99.83999999999999,99.89
1,1,13,14,0.16,0.11
All,634,11721,12355,,
