,Count,Count,Count,Percentage (%),Percentage (%)
_label,Complication,No Complication,All,Complication,No Complication
rl_lipid_mau,,,,,
0,585,9887,10472,92.27,84.35000000000001
1,49,1834,1883,7.7299999999999995,15.65
All,634,11721,12355,,
