,Count,Count,Count,Percentage (%),Percentage (%)
_label,Complication,No Complication,All,Complication,No Complication
rung_nhi,,,,,
0,601,11639,12240,94.78999999999999,99.3
1,33,82,115,5.21,0.7000000000000001
All,634,11721,12355,,
