,Count,Count,Count,Percentage (%),Percentage (%)
_label,Complication,No Complication,All,Complication,No Complication
suy_than_man,,,,,
0,587,11174,11761,92.58999999999999,95.33
1,47,547,594,7.41,4.67
All,634,11721,12355,,
