,Count,Count,Count,Percentage (%),Percentage (%)
_label,Complication,No Complication,All,Complication,No Complication
GioiTinh,,,,,
0,179,4328,4507,28.23,36.93
1,455,7393,7848,71.77,63.07000000000001
All,634,11721,12355,,
